"Libellé";"idBank";"Période";"2010-01";"2010-02";"2010-03";"2010-04";"2010-05";"2010-06";"2010-07";"2010-08";"2010-09";"2010-10";"2010-11";"2010-12";"2011-01";"2011-02";"2011-03";"2011-04";"2011-05";"2011-06";"2011-07";"2011-08";"2011-09";"2011-10";"2011-11";"2011-12";"2012-01";"2012-02";"2012-03";"2012-04";"2012-05";"2012-06";"2012-07";"2012-08";"2012-09";"2012-10";"2012-11";"2012-12";"2013-01";"2013-02";"2013-03";"2013-04";"2013-05";"2013-06";"2013-07";"2013-08";"2013-09";"2013-10";"2013-11";"2013-12";"2014-01";"2014-02";"2014-03";"2014-04";"2014-05";"2014-06";"2014-07";"2014-08";"2014-09";"2014-10";"2014-11";"2014-12";"2015-01";"2015-02";"2015-03";"2015-04";"2015-05";"2015-06";"2015-07";"2015-08";"2015-09";"2015-10";"2015-11";"2015-12";"2016-01";"2016-02";"2016-03";"2016-04";"2016-05";"2016-06";"2016-07";"2016-08";"2016-09";"2016-10";"2016-11";"2016-12";"2017-01";"2017-02";"2017-03";"2017-04";"2017-05";"2017-06";"2017-07";"2017-08";"2017-09";"2017-10";"2017-11";"2017-12";"2018-01";"2018-02";"2018-03";"2018-04";"2018-05";"2018-06";"2018-07";"2018-08";"2018-09";"2018-10";"2018-11";"2018-12";"2019-01";"2019-02";"2019-03";"2019-04";"2019-05";"2019-06";"2019-07";"2019-08";"2019-09";"2019-10";"2019-11";"2019-12"
"Arrivées dans l'hôtellerie - Résidents - Guyane - Série arrêtée";"001717218";"";"8.67";"7.72";"9.42";"9.02";"6.86";"7.3";"9.34";"9.74";"7.63";"7.32";"7.78";"8.6";"8.1";"6.88";"8.69";"8.14";"7.65";"7.92";"9.64";"6.01";"7.07";"9.1";"9.65";"9.04";"7.45";"8.6";"8.4";"7.6";"7.78";"7.53";"9.32";"10.65";"9.33";"9.77";"9.97";"9.81";"7.44";"7.55";"9.01";"8.61";"10.4";"10.76";"9.67";"10.21";"7.87";"9.29";"10.11";"10.94";"9.9";"8.57";"9.35";"6.04";"7.43";"8.58";"7.6";"8.15";"5.5";"7.66";"8.66";"9.45";"6.9";"9.78";"12.7";"8.31";"10.45";"8.27";"9.22";"10.84";"10.81";"12.83";"11.88";"14.8";"11.14";"8.36";"10.79";"12.04";"10.12";"8.74";"14.04";"13.41";"9.32";"11.24";"11.93";"10.81";"8.97";"5.7";"9.68";"6.03";"10.06";"10.64";"11.23";"11.27";"9.51";"12.09";"11.69";"12.12";"10.91";"9.52";"12.71";"10.09";"10.82";"9.91";"9.86";"10.37";"10.61";"12.36";"11.75";"12.82";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Résidents - La Réunion - Série arrêtée";"001717221";"";"30.47";"23.77";"23.41";"29.79";"29.39";"20.38";"28.47";"29.75";"25.18";"35.27";"33.14";"34.36";"34.53";"28.6";"28.86";"29.37";"27.67";"23.29";"29.24";"31.94";"28.79";"39.28";"37.37";"38.79";"35.7";"30.45";"32.57";"32.61";"31.62";"24.31";"30.62";"32.57";"26.71";"34.79";"39.03";"35.86";"33.34";"24.85";"37.89";"28.27";"34.45";"23.96";"30.72";"36.63";"27.59";"41.48";"36.89";"39.12";"32.98";"28.8";"36.18";"32.01";"31.52";"23.62";"30.12";"37.29";"26.91";"37.07";"36.14";"35.41";"35.92";"28.0";"33.82";"35.34";"37.76";"28.05";"36.01";"39.29";"33.51";"47.53";"39.89";"46.81";"48.44";"36.68";"42.28";"39.24";"40.11";"31.49";"42.85";"42.67";"34.98";"48.12";"43.82";"48.1";"53.96";"35.26";"43.35";"42.68";"41.99";"35.78";"47.05";"52.17";"46.87";"54.86";"52.4";"57.25";"52.34";"45.3";"50.85";"50.8";"54.17";"43.99";"52.82";"57.18";"48.42";"59.99";"47.23";"57.43";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Résidents - Île-de-France - Série arrêtée";"001711135";"";"1470.55";"1399.7";"1629.49";"1522.75";"1646.19";"1645.83";"1387.28";"1124.61";"1525.69";"1608.86";"1555.18";"1687.34";"1472.58";"1346.44";"1602.68";"1518.39";"1638.05";"1666.96";"1407.59";"1154.26";"1552.62";"1621.57";"1595.8";"1673.89";"1434.77";"1386.99";"1589.33";"1508.94";"1517.1";"1680.98";"1421.28";"1115.85";"1499.57";"1521.06";"1584.76";"1596.22";"1367.69";"1354.41";"1479.88";"1496.49";"1369.63";"1535.18";"1228.6";"1043.78";"1390.08";"1517.57";"1508.5";"1485.61";"1359.87";"1232.52";"1471.37";"1387.42";"1406.23";"1483.23";"1215.76";"1108.34";"1397.71";"1516.82";"1478.53";"1519.52";"1383.56";"1281.18";"1450.65";"1432.08";"1471.89";"1566.36";"1288.89";"1118.73";"1466.24";"1568.44";"1374.52";"1411.28";"1334.55";"1270.79";"1449.15";"1390.48";"1458.95";"1415.39";"1289.41";"996.85";"1397.94";"1572.49";"1529.58";"1559.89";"1483.96";"1298.56";"1566.98";"1433.07";"1504.7";"1571.01";"1423.32";"1076.8";"1477.11";"1602.3";"1609.64";"1604.58";"1485.3";"1361.33";"1590.45";"1427.42";"1404.3";"1537.4";"1395.67";"1099.76";"1399.51";"1632.97";"1594.08";"1526.54";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Résidents - Centre-Val de Loire - Série arrêtée";"001711130";"";"149.01";"168.54";"217.05";"256.62";"295.93";"314.34";"342.59";"318.86";"290.8";"256.44";"199.29";"176.66";"173.08";"172.87";"220.22";"262.32";"280.34";"344.28";"344.35";"323.0";"288.58";"275.5";"215.57";"188.74";"175.31";"188.14";"225.99";"279.32";"296.4";"320.43";"342.22";"327.03";"297.62";"259.3";"223.87";"173.77";"160.75";"166.12";"231.64";"241.69";"298.29";"308.59";"322.38";"327.99";"278.92";"260.3";"212.44";"186.1";"166.26";"173.02";"215.38";"258.38";"286.35";"312.0";"320.22";"301.26";"285.14";"260.76";"199.77";"183.02";"168.92";"193.7";"219.29";"265.58";"302.85";"312.27";"337.15";"332.99";"308.27";"290.22";"195.22";"198.1";"171.27";"197.62";"239.23";"278.4";"317.57";"315.36";"367.46";"371.72";"307.46";"297.08";"212.64";"199.51";"172.51";"189.13";"226.56";"303.72";"311.78";"330.39";"373.41";"359.62";"312.21";"288.84";"225.51";"208.32";"180.03";"191.69";"236.5";"289.33";"315.9";"330.96";"354.98";"360.55";"312.39";"288.49";"220.29";"204.29";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Résidents - Bourgogne-Franche-Comté - Série arrêtée";"001739002";"";"204.03";"259.27";"280.45";"301.36";"337.8";"349.87";"373.48";"362.52";"337.86";"304.45";"243.06";"223.03";"211.89";"244.71";"273.82";"303.42";"316.56";"382.19";"384.74";"373.76";"350.44";"313.01";"246.21";"226.06";"210.8";"236.82";"273.13";"282.06";"317.57";"353.1";"378.46";"363.3";"338.79";"291.16";"250.66";"219.58";"192.78";"219.51";"286.48";"274.6";"330.0";"350.05";"361.02";"364.58";"327.09";"301.79";"236.48";"218.97";"203.11";"236.13";"262.49";"280.48";"311.73";"342.62";"343.68";"359.27";"323.29";"300.15";"233.69";"223.78";"203.37";"245.52";"262.26";"281.79";"331.75";"352.23";"357.92";"359.09";"337.29";"310.01";"240.08";"235.3";"207.34";"263.69";"272.15";"285.61";"335.56";"338.22";"383.68";"371.99";"332.3";"313.25";"261.63";"239.99";"212.25";"253.2";"273.33";"304.29";"330.94";"354.61";"398.91";"381.75";"346.87";"318.51";"254.98";"245.11";"215.61";"237.43";"301.4";"290.33";"336.98";"355.45";"368.63";"377.94";"344.91";"315.51";"250.07";"232.23";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Résidents - Normandie - Série arrêtée";"001739014";"";"191.5";"226.54";"277.45";"361.71";"383.44";"376.93";"392.56";"400.28";"360.41";"322.03";"251.63";"208.26";"209.13";"251.65";"293.01";"377.43";"353.07";"400.61";"378.19";"389.27";"369.59";"366.15";"263.71";"221.58";"208.39";"234.87";"302.29";"335.29";"377.66";"371.06";"378.55";"402.49";"369.64";"313.18";"276.67";"221.64";"194.89";"214.06";"297.61";"311.85";"381.33";"379.7";"382.78";"403.75";"339.91";"325.98";"266.54";"217.59";"194.07";"232.6";"279.48";"322.09";"354.34";"364.22";"362.08";"374.0";"345.7";"327.21";"254.7";"216.45";"197.71";"237.11";"283.51";"339.28";"377.05";"373.49";"373.84";"385.74";"336.75";"325.72";"245.82";"239.99";"201.02";"247.04";"288.45";"319.25";"370.91";"344.6";"384.67";"393.28";"355.78";"363.81";"266.83";"244.53";"208.33";"256.58";"294.23";"368.44";"369.56";"381.95";"386.88";"389.84";"359.26";"350.76";"285.26";"242.5";"206.03";"242.6";"294.54";"351.51";"390.47";"395.1";"401.61";"415.41";"381.22";"358.05";"285.93";"249.61";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Résidents - Hauts-de-France - Série arrêtée";"001739026";"";"265.25";"277.26";"332.06";"358.95";"388.57";"393.87";"363.25";"318.26";"377.45";"362.87";"309.15";"300.99";"279.29";"290.43";"345.93";"374.95";"390.75";"430.73";"359.27";"325.52";"381.76";"381.04";"316.65";"301.77";"280.5";"294.35";"344.21";"378.77";"391.35";"414.03";"359.28";"324.14";"384.71";"380.21";"346.5";"322.98";"282.87";"290.03";"356.61";"364.31";"398.9";"408.5";"376.19";"347.32";"379.54";"376.21";"348.86";"311.91";"278.34";"301.28";"346.63";"369.74";"389.15";"406.52";"360.11";"340.12";"387.28";"378.12";"332.48";"308.05";"283.72";"295.84";"343.93";"365.29";"393.82";"402.94";"368.84";"336.26";"395.32";"389.49";"332.58";"317.67";"296.47";"307.46";"351.03";"364.76";"403.12";"375.12";"353.09";"328.29";"370.01";"384.28";"329.54";"324.27";"293.47";"297.19";"361.27";"392.67";"389.93";"399.96";"371.26";"339.39";"391.83";"387.03";"348.32";"331.36";"290.44";"290.16";"340.9";"356.21";"376.79";"401.47";"355.11";"337.81";"384.25";"388.48";"341.8";"319.04";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Résidents - Grand Est - Série arrêtée";"001739037";"";"315.49";"344.54";"396.75";"431.32";"500.03";"510.21";"479.91";"484.51";"507.26";"482.04";"410.85";"510.0";"339.92";"361.54";"428.13";"450.26";"496.46";"541.65";"503.4";"504.4";"512.24";"507.44";"428.19";"538.63";"340.88";"362.09";"429.59";"454.78";"516.77";"543.65";"503.17";"495.56";"524.0";"507.57";"467.77";"535.47";"347.94";"368.68";"432.55";"464.97";"536.22";"534.64";"506.28";"504.73";"512.23";"508.48";"459.39";"540.79";"359.51";"376.27";"417.56";"467.34";"510.27";"537.15";"491.45";"504.08";"504.36";"497.78";"434.59";"550.17";"341.47";"371.68";"420.97";"456.37";"538.41";"530.12";"500.73";"523.64";"515.19";"506.67";"423.76";"538.23";"342.04";"399.94";"449.26";"466.54";"531.37";"523.83";"517.29";"502.48";"510.13";"535.51";"455.48";"564.21";"359.88";"391.71";"448.65";"501.02";"537.36";"549.46";"548.6";"536.5";"538.32";"537.45";"487.33";"571.01";"370.21";"381.07";"440.72";"467.94";"512.12";"536.77";"510.92";"527.38";"536.74";"541.91";"485.4";"552.5";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Résidents - Pays de la Loire - Série arrêtée";"001711141";"";"198.12";"207.72";"273.68";"292.65";"318.41";"365.93";"346.2";"357.11";"336.46";"279.96";"253.61";"220.74";"220.46";"233.92";"267.21";"309.97";"325.39";"403.03";"367.68";"360.13";"357.73";"310.2";"253.07";"230.5";"229.86";"233.59";"302.16";"298.7";"326.33";"383.37";"354.63";"374.98";"353.86";"291.22";"265.91";"221.0";"219.25";"223.47";"271.34";"284.58";"335.95";"365.57";"349.99";"389.29";"330.32";"292.96";"248.5";"208.98";"211.15";"224.79";"252.91";"298.6";"321.2";"388.77";"354.98";"404.66";"359.43";"288.69";"245.2";"221.71";"214.88";"225.25";"275.46";"316.2";"353.4";"394.37";"395.64";"423.75";"365.45";"305.38";"251.13";"231.18";"225.66";"241.64";"296.45";"334.99";"369.43";"397.28";"439.37";"443.44";"386.11";"335.54";"281.62";"250.27";"232.81";"239.7";"298.41";"365.76";"363.53";"417.97";"421.72";"435.39";"402.79";"339.43";"293.6";"265.38";"236.73";"251.6";"301.3";"347.53";"375.6";"434.51";"421.57";"468.45";"403.65";"348.8";"287.39";"249.49";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Résidents - Bretagne - Série arrêtée";"001711129";"";"162.42";"195.3";"246.49";"313.23";"353.62";"341.59";"343.84";"400.79";"344.88";"282.65";"224.29";"188.95";"176.88";"211.4";"266.09";"337.21";"337.73";"398.72";"376.78";"418.18";"359.11";"326.95";"241.65";"201.22";"202.35";"218.39";"284.98";"325.79";"373.05";"368.49";"365.24";"416.71";"379.12";"293.5";"254.97";"212.84";"189.78";"207.96";"267.78";"305.36";"381.52";"359.99";"360.98";"454.48";"363.0";"310.13";"256.84";"213.17";"192.64";"220.76";"258.13";"318.59";"355.19";"364.58";"367.8";"441.82";"369.54";"320.71";"245.53";"219.57";"197.65";"233.24";"290.09";"326.45";"381.1";"379.26";"398.41";"450.46";"386.87";"325.68";"246.84";"235.6";"209.47";"257.92";"301.34";"336.56";"379.91";"376.23";"404.29";"454.07";"389.47";"359.23";"262.32";"243.33";"212.55";"250.37";"307.64";"372.21";"378.18";"392.86";"402.45";"456.66";"383.27";"344.82";"273.52";"241.35";"213.91";"237.05";"293.82";"331.36";"388.86";"386.41";"396.39";"459.04";"406.38";"340.11";"274.18";"239.6";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Résidents - Nouvelle-Aquitaine - Série arrêtée";"001739049";"";"354.39";"433.93";"522.18";"656.95";"698.59";"711.38";"842.36";"996.77";"720.12";"607.32";"479.23";"424.72";"380.64";"446.66";"558.77";"705.96";"715.08";"815.54";"904.44";"1039.06";"773.87";"683.69";"491.19";"428.94";"386.0";"441.15";"560.55";"660.45";"733.33";"753.52";"887.54";"1063.02";"781.99";"640.89";"519.08";"441.51";"402.5";"442.06";"570.82";"636.75";"741.67";"724.14";"850.21";"1089.56";"736.39";"652.99";"501.44";"446.74";"396.02";"426.63";"551.14";"623.33";"699.88";"748.01";"824.23";"1042.71";"730.18";"643.29";"459.15";"449.46";"390.43";"463.52";"544.11";"669.48";"742.95";"755.69";"868.31";"1071.98";"759.73";"656.61";"473.07";"472.05";"400.01";"488.7";"562.34";"665.88";"734.33";"708.29";"950.66";"1083.9";"756.96";"742.2";"509.49";"495.09";"417.76";"525.07";"589.66";"757.38";"746.54";"773.95";"966.15";"1086.12";"783.36";"696.46";"519.79";"475.88";"422.94";"461.48";"611.06";"666.17";"736.16";"768.23";"862.39";"1060.63";"794.86";"719.25";"538.5";"482.78";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Résidents - Occitanie - Série arrêtée";"001739061";"";"336.04";"397.86";"460.71";"575.13";"661.5";"678.24";"839.57";"1009.04";"695.6";"570.64";"414.48";"376.09";"358.92";"394.46";"451.88";"582.0";"642.56";"738.2";"911.21";"986.93";"711.91";"620.3";"407.55";"369.5";"359.11";"397.3";"493.42";"582.6";"665.46";"723.17";"870.32";"1023.23";"741.72";"595.39";"438.53";"397.62";"338.38";"371.44";"476.81";"544.45";"660.85";"682.6";"800.75";"992.86";"682.63";"558.18";"412.42";"379.76";"361.78";"395.28";"468.27";"545.13";"627.32";"664.86";"755.74";"968.69";"662.38";"566.46";"383.12";"386.03";"365.02";"390.16";"449.85";"535.37";"672.06";"654.56";"814.32";"954.02";"686.36";"569.72";"406.23";"394.78";"354.56";"422.72";"480.23";"550.25";"634.29";"663.19";"831.93";"962.9";"669.88";"593.44";"426.43";"409.94";"366.94";"408.91";"463.13";"587.19";"620.38";"665.08";"794.16";"924.44";"696.32";"588.74";"427.83";"423.47";"375.41";"408.52";"502.42";"561.55";"642.41";"696.64";"772.02";"949.06";"701.4";"608.75";"433.41";"414.81";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Résidents - Auvergne-Rhône-Alpes - Série arrêtée";"001739073";"";"638.65";"763.52";"804.82";"756.47";"791.18";"869.43";"1020.71";"998.27";"817.1";"713.02";"589.95";"658.33";"687.28";"776.8";"820.23";"778.21";"770.8";"929.41";"1074.61";"1050.4";"875.46";"783.84";"652.72";"727.97";"702.64";"820.83";"905.11";"733.54";"774.65";"917.68";"1025.66";"1057.45";"878.56";"765.39";"678.09";"742.99";"737.65";"794.43";"978.64";"779.26";"844.07";"953.75";"1049.93";"1127.96";"882.97";"788.24";"691.97";"738.68";"664.14";"817.36";"874.1";"745.26";"773.84";"895.24";"975.13";"1106.08";"849.45";"784.87";"636.11";"784.47";"717.01";"883.71";"880.69";"779.29";"845.96";"932.18";"1054.62";"1099.03";"877.73";"784.98";"647.71";"735.0";"714.75";"912.0";"897.16";"830.03";"865.24";"892.2";"1071.11";"1073.96";"902.02";"854.05";"683.57";"741.75";"749.89";"899.72";"900.61";"824.35";"839.84";"967.83";"1102.28";"1116.76";"922.16";"830.12";"711.41";"776.78";"715.46";"834.21";"944.93";"794.57";"849.4";"979.02";"1071.07";"1118.09";"927.0";"853.18";"717.19";"760.32";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
