"Libellé";"idBank";"Période";"2010-01";"2010-02";"2010-03";"2010-04";"2010-05";"2010-06";"2010-07";"2010-08";"2010-09";"2010-10";"2010-11";"2010-12";"2011-01";"2011-02";"2011-03";"2011-04";"2011-05";"2011-06";"2011-07";"2011-08";"2011-09";"2011-10";"2011-11";"2011-12";"2012-01";"2012-02";"2012-03";"2012-04";"2012-05";"2012-06";"2012-07";"2012-08";"2012-09";"2012-10";"2012-11";"2012-12";"2013-01";"2013-02";"2013-03";"2013-04";"2013-05";"2013-06";"2013-07";"2013-08";"2013-09";"2013-10";"2013-11";"2013-12";"2014-01";"2014-02";"2014-03";"2014-04";"2014-05";"2014-06";"2014-07";"2014-08";"2014-09";"2014-10";"2014-11";"2014-12";"2015-01";"2015-02";"2015-03";"2015-04";"2015-05";"2015-06";"2015-07";"2015-08";"2015-09";"2015-10";"2015-11";"2015-12";"2016-01";"2016-02";"2016-03";"2016-04";"2016-05";"2016-06";"2016-07";"2016-08";"2016-09";"2016-10";"2016-11";"2016-12";"2017-01";"2017-02";"2017-03";"2017-04";"2017-05";"2017-06";"2017-07";"2017-08";"2017-09";"2017-10";"2017-11";"2017-12";"2018-01";"2018-02";"2018-03";"2018-04";"2018-05";"2018-06";"2018-07";"2018-08";"2018-09";"2018-10";"2018-11";"2018-12";"2019-01";"2019-02";"2019-03";"2019-04";"2019-05";"2019-06";"2019-07";"2019-08";"2019-09";"2019-10";"2019-11";"2019-12"
"Arrivées dans l'hôtellerie - Total - Guyane - Série arrêtée";"001717216";"";"9.09";"9.29";"10.62";"9.36";"8.45";"8.01";"10.17";"10.87";"8.57";"9.11";"9.39";"9.02";"8.59";"8.08";"9.54";"9.27";"8.72";"8.8";"10.44";"7.73";"8.7";"10.26";"10.98";"10.3";"8.37";"9.73";"9.18";"9.48";"8.58";"8.69";"10.07";"11.56";"10.22";"11.34";"12.11";"10.85";"8.3";"8.44";"10.0";"9.54";"11.67";"12.04";"10.46";"11.34";"8.93";"10.27";"12.21";"12.82";"11.63";"9.83";"10.54";"9.6";"8.54";"9.91";"8.95";"9.11";"6.79";"10.35";"10.6";"11.34";"7.58";"11.07";"14.88";"9.0";"11.56";"9.16";"10.01";"12.1";"11.55";"14.69";"13.39";"15.46";"11.71";"8.69";"13.03";"13.39";"10.88";"9.59";"15.38";"14.81";"10.53";"12.78";"13.25";"12.55";"11.29";"7.46";"11.28";"7.07";"10.7";"11.92";"12.63";"14.72";"10.71";"13.14";"13.7";"14.58";"13.19";"11.88";"13.95";"11.82";"11.76";"11.57";"11.5";"12.74";"12.58";"14.47";"14.09";"15.03";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Total - La Réunion - Série arrêtée";"001717219";"";"32.9";"26.27";"28.38";"32.52";"33.51";"23.77";"32.29";"35.51";"31.82";"42.82";"40.39";"38.13";"38.33";"31.53";"33.0";"33.99";"31.3";"26.2";"34.13";"34.92";"35.8";"47.45";"42.34";"43.6";"39.13";"33.1";"34.9";"35.42";"35.94";"27.13";"34.53";"37.61";"32.89";"43.25";"44.55";"39.15";"35.39";"26.82";"40.62";"31.7";"38.09";"27.38";"35.73";"41.18";"34.03";"47.13";"42.32";"43.42";"35.98";"30.91";"38.63";"36.22";"35.96";"28.62";"35.73";"42.5";"32.37";"44.0";"43.86";"39.17";"38.84";"30.73";"37.33";"40.23";"41.8";"31.66";"40.88";"44.83";"41.24";"54.49";"47.65";"51.47";"51.7";"40.04";"45.55";"43.54";"44.75";"34.9";"47.43";"47.49";"41.48";"55.44";"50.93";"52.6";"57.05";"38.7";"46.95";"48.01";"47.45";"39.9";"52.62";"58.98";"54.96";"63.93";"62.39";"63.29";"56.73";"49.64";"55.89";"57.02";"60.54";"48.72";"60.07";"63.12";"57.02";"69.38";"55.45";"61.81";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Total - Île-de-France - Série arrêtée";"001711112";"";"2207.96";"2201.94";"2659.75";"2617.92";"2938.34";"2944.95";"2843.59";"2489.59";"2834.6";"2859.39";"2487.11";"2696.66";"2289.79";"2160.92";"2695.19";"2794.54";"2937.59";"3048.88";"3008.23";"2601.48";"2899.17";"2939.44";"2592.3";"2728.69";"2334.13";"2255.19";"2729.17";"2779.21";"2892.22";"3080.47";"2964.07";"2607.31";"2853.83";"2930.86";"2597.18";"2663.99";"2192.96";"2259.92";"2686.59";"2760.9";"2924.21";"3092.44";"2871.45";"2683.81";"2842.53";"2933.71";"2560.52";"2676.61";"2246.86";"2154.67";"2615.04";"2783.58";"2865.38";"2994.64";"2887.51";"2746.72";"2796.32";"2978.59";"2481.04";"2700.73";"2269.71";"2212.69";"2596.31";"2762.78";"2978.75";"3090.12";"3116.87";"2814.79";"2905.58";"2999.18";"2334.84";"2325.56";"2105.62";"2100.86";"2565.77";"2505.51";"2811.58";"2811.33";"2867.21";"2323.59";"2686.33";"2871.41";"2553.23";"2678.65";"2462.18";"2230.75";"2747.28";"2869.89";"2934.43";"3153.01";"3129.63";"2605.43";"2989.91";"3069.24";"2749.35";"2871.73";"2517.65";"2402.55";"2997.55";"2912.04";"3002.54";"3231.99";"3268.61";"2809.35";"3002.69";"3256.52";"2862.87";"2768.73";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Total - Centre-Val de Loire - Série arrêtée";"001711107";"";"166.87";"189.11";"249.37";"315.19";"385.39";"417.79";"511.09";"496.95";"396.51";"313.91";"226.58";"198.61";"193.6";"193.93";"249.98";"321.23";"365.13";"452.06";"528.66";"503.29";"392.35";"332.4";"242.55";"211.53";"196.0";"209.5";"263.28";"339.65";"385.62";"431.75";"510.36";"493.69";"403.36";"315.16";"250.04";"197.2";"182.36";"190.22";"272.77";"296.66";"390.09";"423.62";"505.06";"516.84";"390.29";"317.88";"242.3";"210.83";"186.32";"198.85";"250.21";"321.4";"371.99";"423.66";"484.35";"496.85";"390.09";"321.94";"225.18";"206.31";"191.06";"213.08";"253.64";"321.31";"390.61";"415.77";"517.84";"536.82";"423.8";"353.77";"223.65";"222.64";"192.42";"216.18";"276.12";"327.67";"393.65";"406.46";"524.8";"527.99";"403.36";"348.83";"239.54";"225.62";"194.93";"211.43";"260.86";"366.74";"389.31";"433.29";"535.54";"534.51";"421.78";"353.0";"258.65";"239.59";"205.02";"218.27";"279.77";"354.33";"401.12";"443.63";"521.17";"547.52";"425.0";"357.85";"255.56";"237.05";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Arrivées dans l'hôtellerie - Total - Bourgogne-Franche-Comté - Série arrêtée";"001739001";"";"241.91";"308.87";"333.78";"414.1";"474.67";"494.51";"604.75";"578.96";"498.72";"404.99";"287.05";"266.32";"253.63";"291.21";"337.45";"408.2";"432.39";"539.87";"622.55";"593.34";"513.65";"410.69";"292.33";"274.66";"250.58";"281.45";"339.19";"376.73";"438.52";"508.29";"614.75";"578.16";"501.43";"389.55";"297.32";"265.98";"227.35";"273.67";"354.16";"361.74";"459.21";"508.75";"592.46";"590.2";"483.64";"401.55";"284.94";"271.87";"249.33";"300.85";"332.3";"397.71";"449.29";"515.26";"594.1";"614.57";"488.83";"413.08";"298.43";"291.43";"256.03";"324.48";"341.83";"406.88";"494.13";"526.67";"633.97";"636.84";"514.66";"433.8";"308.81";"298.2";"262.54";"334.37";"370.6";"388.75";"472.9";"498.89";"633.7";"601.03";"494.77";"419.63";"326.27";"306.6";"269.46";"326.99";"364.72";"433.73";"462.0";"527.19";"654.24";"613.3";"520.68";"434.71";"327.89";"319.88";"275.89";"320.86";"407.84";"411.85";"491.81";"541.05";"620.1";"622.11";"517.58";"436.29";"323.14";"305.63";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
